Erreur_D;Erreur_H;CanopeeMax_D;CanopeeMax_H;Longevite;r;AgePlantation;GSM
0.19139713662553073;0.5568409033623651;12;10;40;0.8;4;0.75;
0.1913971366255312;0.6013977226898921;15;10;40;0.8;4;0.6;
0.19211991764737885;0.5452587027169576;11;10;40;0.8;4;0.8;
0.1923513656798246;0.5689935387903814;13;10;40;0.8;4;0.7;
0.1923513656798247;0.5826736198705715;14;10;40;0.8;4;0.65;
0.19383093904035453;0.5019240146924057;10;10;50;0.8400000000000001;6;0.8;
0.19445672639081837;0.5836689806045957;13;10;40;0.8;6;0.65;
0.19510696958428617;0.5717104072062871;12;10;40;0.8;6;0.7;
0.19510696958428644;0.5956275540029045;14;10;40;0.8;6;0.6;
0.19551392854115965;0.4995048384681335;10;10;60;0.9;6;0.8;
0.19587201327666998;0.5061222716002173;11;10;50;0.8400000000000001;6;0.75;
0.19659386121651953;0.5343490481404782;12;10;50;0.8400000000000001;6;0.65;
0.19705769916469146;0.5599828120688479;11;10;40;0.8;6;0.75;
0.197152168946483;0.5826736198705715;13;10;40;0.8;4;0.65;
0.1975476518515491;0.5036118730203969;11;10;60;0.9;6;0.75;
0.19864280877498092;0.5185966337833913;12;10;50;0.8400000000000001;6;0.7;
0.19864280877498094;0.5521935390193043;14;10;50;0.8400000000000001;6;0.6;
0.19867350331329772;0.5185966337833913;11;10;50;0.8400000000000001;6;0.7;
0.19881553403890104;0.5689935387903814;12;10;40;0.8;4;0.7;
0.19881553403890137;0.6013977226898921;14;10;40;0.8;4;0.6;
