Moyen;01.01.2002 00:00;02.10.2012 00:00;13;2;8
Grand;01.01.1962 00:00;04.10.2012 00:00;21;3.5;14
Moyen;01.01.2006 00:00;02.10.2012 00:00;8;3;6
Grand;01.01.1962 00:00;04.10.2012 00:00;20;2.5;17
Grand;01.01.1962 00:00;04.10.2012 00:00;25;2.5;16
Moyen;01.02.2006 00:00;02.10.2012 00:00;12;2;6
Petit;01.01.1962 00:00;01.11.2012 00:00;3;0.1;2
Grand;01.01.1962 00:00;22.11.2012 00:00;18;2.8;9
Moyen;01.01.2002 00:00;02.10.2012 00:00;8;0.5;3
Grand;01.01.1962 00:00;22.11.2012 00:00;20;3.6;15
Grand;01.01.1962 00:00;02.10.2012 00:00;18;1;6
Grand;01.01.2002 00:00;22.11.2012 00:00;17;3.7;5
Grand;01.01.1962 00:00;22.11.2012 00:00;16;3.4;10
Grand;01.01.2002 00:00;22.11.2012 00:00;18;3.4;8
Grand;01.01.1962 00:00;22.11.2012 00:00;17;3.6;16
Grand;01.01.1962 00:00;22.11.2012 00:00;16;3.7;9
Grand;01.01.2002 00:00;22.11.2012 00:00;15;3.1;6
Grand;01.01.1962 00:00;22.11.2012 00:00;20;3.6;15
Grand;01.01.2002 00:00;27.09.2012 00:00;12;2;6
Grand;01.01.1962 00:00;22.11.2012 00:00;13;3;11
Grand;01.01.1962 00:00;22.11.2012 00:00;18;3.5;14
Grand;01.01.2002 00:00;02.10.2012 00:00;18;4;5
Grand;01.01.2002 00:00;04.10.2012 00:00;12;0.4;5
Grand;01.01.1962 00:00;02.10.2012 00:00;20;5;13
Grand;01.01.2002 00:00;04.10.2012 00:00;14;3;6
Grand;01.01.2002 00:00;02.10.2012 00:00;12;5;12
Petit;01.01.1962 00:00;02.10.2012 00:00;11;1;6
Moyen;01.01.1962 00:00;02.10.2012 00:00;15;8;7
Grand;01.01.1962 00:00;04.10.2012 00:00;22;3;15
Grand;01.01.1962 00:00;02.10.2012 00:00;20;1.5;5
Grand;01.01.2002 00:00;04.10.2012 00:00;8;2;6
Grand;15.12.2006 00:00;02.10.2012 00:00;12;3;11
Petit;01.01.2002 00:00;02.10.2012 00:00;5;2;4
